instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,label
29780868,24605,84581,148746,1,1,4096,0,0,0,127407,0,0,1
35539115,5524,598182,121443,2,1,4096,2,8192,0,119154,685149,0,1
56687814,35065,656510,95519,3,8,32768,0,0,0,705707,0,0,1
24287438,19105,292978,108059,0,6,24576,0,0,0,359482,0,0,1
41871426,9339,468133,149359,1,5,20480,0,0,0,484966,0,0,1
50853782,16938,784927,98693,1,0,0,0,0,0,0,0,0,1
24465635,20644,710629,92292,2,0,0,0,0,0,0,0,0,1
22312190,26854,933636,114637,1,0,0,0,0,0,0,0,0,1
18245194,21880,926160,98623,0,0,0,0,0,0,0,0,0,1
23034718,3245,651108,151194,3,0,0,0,0,0,0,0,0,1
29534845,17806,557068,122007,3,0,0,0,0,0,0,0,0,1
30546321,4498,807684,72667,1,0,0,0,0,0,0,0,0,1
64164004,17733,762574,70441,2,0,0,0,0,0,0,0,0,1
48540547,5057,1151978,83111,2,0,0,0,0,0,0,0,0,1
36635246,25735,1227448,36677,2,0,0,0,0,0,0,0,0,1
41486999,9709,511428,85325,3,0,0,0,0,0,0,0,0,1
46311261,22763,438570,116591,0,0,0,0,0,0,0,0,0,1
32158938,23961,296486,90603,5,0,0,0,0,0,0,0,0,1
86451626,28135,550556,68134,2,0,0,0,0,0,0,0,0,1
39602044,38160,791915,77457,1,1,4096,0,0,0,154491,0,0,1
83242861,75223,665091,124915,1,3,12288,0,0,0,335138,0,0,1
39990101,18393,735067,94503,4,0,0,0,0,0,0,0,0,1
20203820,29726,811582,112722,0,0,0,0,0,0,0,0,0,1
94870041,16718,672357,47155,2,0,0,0,0,0,0,0,0,1
31103847,23664,894295,28685,3,0,0,32,3371008,0,0,8995398,0,1
82318055,28520,816922,92632,0,0,0,0,0,0,0,0,0,1
54339876,16933,694288,100826,1,0,0,0,0,0,0,0,0,1
57008548,15645,587995,76170,0,4,16384,16,27648,0,453686,1118505,0,1
82596629,6579,1118191,83557,0,0,0,38,1342976,0,0,218634798,0,1
46657057,75525,805333,79993,1,9,36864,58,1513984,0,16108448,206637327,0,1
43171146,30718,301567,82929,2,6,24576,48,5052416,0,26220803,213257827,0,1
45635764,1665,748662,43266,0,3,12288,195,19623936,0,388927,76541758,0,1
32379918,7522,599636,19927,2,0,0,29,2685952,0,0,8123226,0,1
89410885,5356,616520,68709,0,0,0,0,0,0,0,0,0,1
59319174,26482,396928,82225,1,0,0,0,0,0,0,0,0,1
57328640,21483,163472,2885,1,4,16384,27,3411968,0,27694366,2520091790,0,1
71681016,63,550671,93876,0,11,45056,21,2107392,0,46425508,648132730,0,1
60067658,37649,841785,61710,0,17,69632,44,5244928,0,30993793,708363215,0,1
15614696,13787,596014,59729,4,66,270336,1,4096,0,4787570,47809,0,1
87167080,30071,489683,78646,28,102,417792,0,0,0,6688406,0,0,1
50212116,25094,377152,61748,793,89,364544,0,0,0,6067353,0,0,1
81790802,19697,885647,59398,509,91,372736,0,0,0,6379505,0,0,1
72631825,21197,565540,97928,38,97,397312,0,0,0,5601224,0,0,1
35518122,24179,439792,83611,424,88,360448,0,0,0,5671398,0,0,1
30093586,8205,699112,128909,0,88,360448,0,0,0,5934193,0,0,1
76401973,27895,545425,118488,0,87,356352,0,0,0,6918847,0,0,1
24395782,11104,845974,85400,0,91,372736,0,0,0,6333067,0,0,1
28314790,21307,626297,152437,0,58,237568,0,0,0,4781454,0,0,1
41711876,21667,596863,128091,0,68,278528,0,0,0,5138521,0,0,1
64603143,16636,778503,126370,2,76,311296,0,0,0,5654146,0,0,1
44699413,17332,548758,127138,1,82,335872,0,0,0,6089027,0,0,1
17162174,18140,668190,139332,0,75,307200,0,0,0,5920884,0,0,1
28330344,27526,565701,120147,0,69,282624,0,0,0,4552881,0,0,1
12192801,27284,523675,96561,0,57,233472,0,0,0,4401280,0,0,1
44998226,21252,842560,131104,0,20,81920,0,0,0,1762884,0,0,1
27458630,12676,643599,97830,1,40,163840,0,0,0,3464440,0,0,1
19884758,20751,495517,167727,1,63,258048,0,0,0,4962811,0,0,1
46819976,20139,579286,179594,1,59,241664,0,0,0,5011461,0,0,1
47502900,22196,317999,174516,0,60,245760,0,0,0,4413034,0,0,1
15301282,12800,310144,151628,1,54,221184,0,0,0,4403098,0,0,1
82392800,16826,187884,152919,0,46,188416,0,0,0,4759140,0,0,1
40953481,21801,263164,92638,1,53,217088,0,0,0,5248426,0,0,1
34242825,21314,51102,154768,0,64,262144,2,16384,0,6013687,216070,0,1
35845438,16705,222616,38012,3,46,188416,2,8192,1,9614069,4166431,1348114,1
34888038,24754,416973,29937,3,59,241664,0,0,0,5009218,0,0,1
43204127,21239,647478,88959,0,67,274432,0,0,0,5835948,0,0,1
62914961,21510,673630,66512,0,62,253952,0,0,0,5396233,0,0,1
38660270,10304,777169,79114,0,61,249856,0,0,0,5743271,0,0,1
65341989,26242,639694,49382,0,65,266240,0,0,0,5451661,0,0,1
64371221,25477,516660,27007,0,68,278528,0,0,0,5691937,0,0,1
32463367,22900,747484,44805,2,57,233472,0,0,0,5543326,0,0,1
49208938,50477,549442,108395,0,60,245760,0,0,0,4986919,0,0,1
5438582,24771,426189,117955,0,65,266240,0,0,0,5170919,0,0,1
23199912,29625,321731,143849,1,65,266240,0,0,0,5253799,0,0,1
25683659,14034,459260,33073,3,68,278528,0,0,0,5244622,0,0,1
39836096,17472,515535,58199,1,61,249856,0,0,0,4570552,0,0,1
14332134,11041,374393,40249,0,56,229376,0,0,0,4429061,0,0,1
18243824,19632,978294,186433,5,59,241664,0,0,0,4726216,0,0,1
49607211,17460,558090,156016,0,78,319488,1,8192,0,6009033,50685,0,1
37892198,22093,611994,27434,2,67,274432,0,0,0,5546685,0,0,1
14645704,20073,597012,162991,2,72,294912,0,0,0,5409122,0,0,1
48314246,24955,1048200,62992,0,45,184320,0,0,0,3519892,0,0,1
41790442,22189,459989,110382,1,42,172032,0,0,0,3696786,0,0,1
26871207,23901,907014,111910,4,73,299008,0,0,0,5985673,0,0,1
31186641,19011,790558,87537,1,64,262144,0,0,0,4910633,0,0,1
15659330,14265,552493,73055,3,6,24576,12,1572864,0,402560,152225211,0,1
17592259,25775,144733,71507,1,2,8192,40,4720640,0,48072807,992719238,0,1
15224110,16910,617158,27422,3,6,24576,12,868864,0,34304694,204452129,0,1
16601277,12856,260094,83118,1,7,28672,28,3240960,0,37057157,540776639,0,1
15708430,13288,669940,83607,0,6,24576,26,2714624,0,42196602,475000242,0,1
37850903,15926,251974,26564,1,5,20480,24,2225152,0,31478855,394713744,0,1
33511567,19936,441568,120134,2,10,40960,37,3694080,0,56565072,641084547,0,1
35714208,13342,184419,134734,0,14,57344,50,1360384,0,29251465,166674302,0,1
46704835,10923,243566,75537,0,18,73728,53,499712,0,26192529,103690335,0,1
47686161,12855,484038,57748,4,25,102400,55,524800,0,36268135,120831663,0,1
22446252,8162,141639,150950,0,19,77824,77,2919424,0,32147982,160447407,0,1
29700762,16772,755367,153310,2,16,65536,98,935936,1,18887955,77631245,434380,1
29050204,54902,664502,107225,0,16,65536,86,1369600,0,20882967,91800924,0,1
54808391,5778,934681,47795,2,6,24576,12,1067008,0,32665181,118219960,0,1
67307762,5666,834414,38246,3,18,73728,44,4947456,0,27917512,475610767,0,1
40387882,18217,589999,148055,0,42,172032,3,167936,2,5263985,2065776,3003525,1
29549770,13125,712029,155113,1,57,233472,0,0,0,4069224,0,0,1
41946916,17975,732860,88521,0,71,290816,0,0,0,4594237,0,0,1
