,instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,Label
5955,17065964,14266,27043,561033,0,0,0,0,0,0,0,0,0,0
2203,48988141,17535,1424967,169359,4,3,12288,29,2739200,0,20567155,236775317,0,1
9,22808845,386,22814,5812,0,0,0,0,0,0,0,0,0,1
1848,38966917,26477,708476,94679,1,41,3854848,14,753664,0,26644639,3317791,0,1
3633,62564353,1420,6350,469154,0,0,0,0,0,0,0,0,0,0
1359,26473575,1841,136275,1255,2,44,3528192,0,0,0,3943840,0,0,1
5539,72388534,188,3890,430623,1,0,0,0,0,0,0,0,0,0
215,23661305,51025,1448120,158360,0,135,552960,0,0,0,5378856,0,0,1
2024,39843135,27717,742149,10247,4,41,167936,4,49152,0,3082540,239674,0,1
4804,75820266,6889,36317,274921,3,0,0,16,2097152,0,0,18570676,0,0
1016,28482115,28002,492720,83633,0,17,1588224,46,3667968,0,44109585,264494856,0,1
2731,22312190,26854,933636,114637,1,0,0,0,0,0,0,0,0,1
5477,55428507,9018,8712,372602,1,0,0,25,3145728,0,0,124914498,0,0
2405,41754327,21302,943066,117573,3,17,1155584,28,839680,0,7520586,2566225,0,1
5692,73544616,5834,6241,207071,0,0,0,24,3145728,0,0,40374118,0,0
1927,25284939,11106,842781,24746,1,0,0,36,3130368,0,0,287370270,0,1
2397,37423725,15257,516276,133114,2,45,184320,6,126976,1,9411687,24857310,358845,1
2368,30138879,37075,1204947,172001,1,2,8192,25,2896896,0,28000434,171097648,0,1
564,30722484,29350,1569995,132643,12,27,2622464,47,4489216,0,193042584,351672543,0,1
5751,63575412,5800,117666,740560,0,0,0,6,659456,0,0,2443466,0,0
4722,79048437,5052,5469,258890,0,0,0,0,0,0,0,0,0,0
2423,35086411,24516,471564,148333,7,2,8192,2,135168,0,68177275,69021256,0,1
467,29020601,32709,1550066,120275,0,20,464384,1,4096,0,2028751,245596,0,1
5281,81643399,10964,67682,572143,0,0,0,0,0,0,0,0,0,0
708,24047643,34844,361091,156388,2,54,1474048,44,479232,5,6939000,3375194,4187972,1
1545,31264793,39311,1201859,145923,0,1,4096,30,2995200,0,31069956,486038220,0,1
1305,41986722,27986,1266579,67167,5,59,6107136,0,0,0,7321975,0,0,1
5202,69358415,186,6555,342727,0,0,0,0,0,0,0,0,0,0
3516,72783692,368,11458,392629,1,0,0,0,0,0,0,0,0,0
299,34408252,24272,1367441,143969,1,0,0,189,3104768,0,0,28053238,0,1
5066,81160374,274,9967,663698,1,0,0,0,0,0,0,0,0,0
4817,83027303,3186,9635,279028,1,0,0,0,0,0,0,0,0,0
4830,62353416,1199,5823,479059,0,0,0,0,0,0,0,0,0,0
2906,45467735,19180,359574,130302,1,70,286720,0,0,0,5644247,0,0,1
3678,65190598,322,13772,470650,0,0,0,0,0,0,0,0,0,0
3161,87815007,620,12847,208317,0,0,0,0,0,0,0,0,0,0
3475,54300398,661,3075,625568,0,0,0,0,0,0,0,0,0,0
4846,65119388,15452,8029,497823,1,0,0,8,1048576,0,0,42882285,0,0
641,36728902,64435,1395006,134306,0,44,2448896,30,262144,3,15092335,2716044,955342,1
2153,28411,10282,849690,16779,0,8,1048576,3,32768,0,8643447,212281,0,1
4068,84802429,3431,3645,224131,0,0,0,0,0,0,0,0,0,0
4929,60455215,1314,7423,696898,3,0,0,16,2097152,0,0,40618973,0,0
1942,32235098,4263,948694,105259,0,37,3680256,1,4096,0,20745685,120020,0,1
226,31372854,41023,1471118,199770,0,75,2600448,1,4096,0,5562367,445559,0,1
336,16161060,23196,1187033,112202,6,47,1273856,13,1474560,0,7468319,15951246,0,1
267,28751176,44179,1292956,160970,3,38,1432576,1,4096,0,2832115,611513,0,1
3444,90960590,2248,47664,235944,0,0,0,0,0,0,0,0,0,0
4388,63311903,5398,27871,540018,0,0,0,0,0,0,0,0,0,0
4976,80562514,1158,9501,510157,0,0,0,36,4456448,0,0,45723541,0,0
5653,79925800,5572,14573,295478,0,0,0,0,0,0,0,0,0,0
2265,18251594,22570,1306194,164581,0,0,0,100,9297920,0,0,36853023,0,1
901,32342886,35600,704214,48381,1,36,3321856,51,512000,0,8578084,3585430,0,1
1686,18468130,4644,1168727,123306,10,39,3046912,0,0,0,3970827,0,0,1
5592,66703310,7868,3688,645276,1,0,0,0,0,0,0,0,0,0
4273,67729364,365,159554,555666,0,0,0,0,0,0,0,0,0,0
4824,69086225,1838,63469,267492,0,0,0,0,0,0,0,0,0,0
2284,24886493,20387,945740,129689,3,30,2642432,0,0,0,13829557,0,0,1
2364,24245459,29754,936432,52328,1,0,0,7,595456,0,0,1192632,0,1
3029,9857320,4857,204571,63004,0,0,0,0,0,0,0,0,0,0
252,31745319,26967,1483902,118557,1,31,1142784,1,4096,0,2898261,340627,0,1
575,25893674,38728,1188644,152326,2,58,3156480,0,0,0,26624667,0,0,1
2598,55842197,36296,83509,81987,3,0,0,125,995328,0,0,5690249,0,1
1572,748484,43462,543367,157411,2,54,3209216,0,0,0,4777174,0,0,1
3368,91575353,1054,3932,375876,0,0,0,0,0,0,0,0,0,0
5798,81221627,33908,9346,220172,0,0,0,0,0,0,0,0,0,0
3169,86837894,147,3756,212722,1,0,0,0,0,0,0,0,0,0
563,34912427,22875,1531552,149048,5,18,1220608,19,1832960,0,93526280,327135349,0,1
5306,67591862,3701,5489,425295,1,0,0,0,0,0,0,0,0,0
5720,75756051,16780,4028,530476,2,0,0,0,0,0,0,0,0,0
1057,30121738,15761,623893,85141,0,5,123392,34,3522560,0,27644946,255992264,0,1
3933,66924152,2066,4007,251367,0,0,0,0,0,0,0,0,0,0
5259,70460231,6800,11398,287526,0,0,0,0,0,0,0,0,0,0
1727,22888577,23256,808391,24335,0,10,909312,104,10284544,0,2880894,237129580,0,1
4449,52226780,7226,3578,492251,0,0,0,0,0,0,0,0,0,0
2309,34317269,29179,1204670,156187,0,2,8192,37,4061696,0,25789536,384365215,0,1
1268,100397945,35407,1170638,149865,0,2,167424,50,4513792,1,482589,359670232,9294303,1
4412,56854974,394,3836,615707,0,0,0,8,1048576,0,0,27539735,0,0
4016,67525773,1869,13003,504836,0,0,0,0,0,0,0,0,0,0
37,28414,0,17437,529,0,87,392192,0,0,0,4022355,0,0,1
4590,78602451,661,3186,545862,7,0,0,9,1048576,0,0,36168750,0,0
2604,85076345,18801,317450,50263,9,0,0,101,1040384,0,0,17539585,0,1
3096,60872392,3346,10821,519073,0,0,0,0,0,0,0,0,0,0
4745,64171339,22785,10236,440996,0,0,0,0,0,0,0,0,0,0
3300,92318425,181,7557,163104,0,0,0,0,0,0,0,0,0,0
3798,70797240,638,15323,421324,0,0,0,0,0,0,0,0,0,0
3606,66897669,504,3403,547521,0,0,0,122,15740928,0,0,114601219,0,0
2273,24084420,32745,1328783,152853,0,34,3304960,4,16384,0,32595594,4698245,0,1
2633,7013304,23984,380075,93022,0,0,0,0,0,0,0,0,0,1
5514,69318161,3828,48720,185271,7,0,0,28,3125248,1,0,56283098,5788167,0
2187,41761235,1,861594,24324,7,18,73728,0,0,0,1338747,0,0,1
2225,56560437,8262,1242897,73016,0,28,114688,0,0,0,2300988,0,0,1
637,26314547,39004,1404782,125814,2,67,2664960,41,344064,5,12598843,2758449,3773686,1
4199,79669312,1404,286306,402753,0,0,0,98,12845056,0,0,58290344,0,0
5317,60384093,9500,27279,313748,0,0,0,0,0,0,0,0,0,0
2482,18109853,8907,128074,125304,1,14,57344,33,1449984,0,39174115,147883900,0,1
1822,32057306,29623,1000479,136504,2,13,1231360,31,2369536,0,22380933,162749356,0,1
1573,161729,43200,734123,156131,0,45,3380224,0,0,0,4783037,0,0,1
3231,104580193,186,7069,118058,0,0,0,0,0,0,0,0,0,0
4880,73248307,11083,10770,326329,0,0,0,0,0,0,0,0,0,0
4407,66968325,144,3439,555674,0,0,0,0,0,0,0,0,0,0
3809,74044826,5169,26679,411685,1,0,0,0,0,0,0,0,0,0
3610,62987589,3266,7495,510346,0,0,0,0,0,0,0,0,0,0
194,29403179,44061,1430929,145130,0,60,4614656,0,0,0,5178948,0,0,1
3895,61686351,3391,7358,580263,0,0,0,0,0,0,0,0,0,0
2458,30153882,23108,1141697,16974,0,56,229376,0,0,0,3621060,0,0,1
2043,65455259,38571,973643,90418,5,5,20480,54,3991552,0,17517775,277350181,0,1
3884,66835575,284,3562,392834,0,0,0,0,0,0,0,0,0,0
5029,65819390,6981,9392,624623,0,0,0,0,0,0,0,0,0,0
2679,23583565,10543,1369933,244239,0,2,8192,1,4096,0,247457,118262,0,1
371,36643086,23157,1458648,136540,0,18,1640448,111,3911680,0,6880447,34721775,0,1
1665,26248579,11554,906632,156643,3,40,3468800,0,0,0,4556928,0,0,1
4860,71821555,11162,9948,448492,0,0,0,9,1048576,0,0,37582859,0,0
827,17197797,16582,773240,42441,4,39,3656704,25,281088,2,53347007,53170015,861381,1
1852,29841310,23159,449938,152468,2,31,1692672,5,24576,0,14089032,7701478,0,1
1207,38173238,5393,504617,70479,0,11,1098240,6,296448,0,185445071,132884449,0,1
1598,1237385,35391,1188300,130514,0,12,989184,51,4802048,0,72330961,248008540,0,1
3548,76647204,509,56094,371010,0,0,0,0,0,0,0,0,0,0
911,29737267,20349,452743,39376,0,46,4335104,0,0,0,22940308,0,0,1
1765,56455046,33669,1180158,160848,3,5,289280,87,8868864,0,16433545,708633083,0,1
461,32819468,39039,1365928,119634,5,116,3027456,1,4096,0,7940385,48367,0,1
5222,77694466,384,28939,460034,0,0,0,0,0,0,0,0,0,0
230,46157310,31983,1644823,144504,0,38,663552,1,4096,0,4749357,2440421,0,1
1252,62245694,18595,843999,131663,2,39,1841664,15,389120,0,3884810,1403440,0,1
5596,63259335,1138,6509,443351,0,0,0,0,0,0,0,0,0,0
2516,35549612,12542,343067,82087,1,7,28672,0,0,0,763539,0,0,1
4991,79012174,15530,4163,381117,0,0,0,0,0,0,0,0,0,0
229,47490590,33755,1330762,173593,1,86,1110016,0,0,0,6416433,0,0,1
4418,62868754,3457,3639,507544,0,0,0,0,0,0,0,0,0,0
5734,64757527,8974,55365,409934,0,0,0,0,0,0,0,0,0,0
1806,56602224,40245,917277,142876,0,0,0,0,0,0,0,0,0,1
5256,58633779,5474,15307,272455,0,0,0,0,0,0,0,0,0,0
5163,75014796,5013,8586,317424,0,0,0,8,1048576,0,0,183071193,0,0
3218,82999934,5881,15942,120440,0,0,0,0,0,0,0,0,0,0
2813,15708430,13288,669940,83607,0,6,24576,26,2714624,0,42196602,475000242,0,1
1867,58533186,29283,345539,128165,7,14,1453568,61,3172352,0,17643514,65170595,0,1
1546,26360243,38676,1266140,155643,4,2,76288,84,9186304,0,21748117,266721453,0,1
2891,67774843,25707,598946,86979,0,65,266240,3,217088,0,6875500,451974,0,1
4205,74425579,517,3767,420226,0,0,0,0,0,0,0,0,0,0
2741,32158938,23961,296486,90603,5,0,0,0,0,0,0,0,0,1
4767,78584459,3062,7528,411334,1,0,0,0,0,0,0,0,0,0
392,29552714,45687,1619616,154963,1,92,2907648,0,0,0,6675353,0,0,1
5458,72305594,588,6753,401869,0,0,0,0,0,0,0,0,0,0
4527,67861857,4195,3569,431088,0,0,0,0,0,0,0,0,0,0
2643,45568073,21433,707208,103340,0,0,0,21,1179648,0,0,79837343,0,1
3717,65796239,300,7253,384584,0,0,0,10,1310720,0,0,13416117,0,0
5953,66462122,686,32561,604406,0,0,0,0,0,0,0,0,0,0
2497,23278169,17879,1141769,133483,2,25,102400,0,0,0,2178392,0,0,1
4332,64192243,20301,401228,475883,0,0,0,0,0,0,0,0,0,0
747,22037221,9409,691010,52662,18,16,1126912,49,3392512,1,31685451,166299081,828545,1
5992,69689529,8256,40311,493349,3,0,0,1,4096,0,0,119947,0,0
4786,69922177,11210,15270,367580,0,0,0,2,8192,0,0,6093566,0,0
3866,68956346,576,32907,494143,1,0,0,0,0,0,0,0,0,0
1134,45234796,19038,499771,75374,0,48,2534912,0,0,0,4113685,0,0,1
1827,35635766,24637,601369,108799,0,24,1745920,20,2321920,0,40449308,277170516,0,1
4755,77160833,9326,4983,421228,0,0,0,0,0,0,0,0,0,0
3261,73386714,823,5391,132300,3,0,0,0,0,0,0,0,0,0
973,56270709,18152,374705,45058,1,41,3368960,0,0,0,21878101,0,0,1
2325,27209341,31930,1132245,124952,9,32,131072,0,0,0,2365436,0,0,1
171,27126914,22555,1593512,136377,0,45,184320,63,266240,0,31617699,20345137,0,1
356,28424270,36601,1256326,145850,0,71,878592,0,0,0,4676449,0,0,1
5728,60619171,69425,5940,482131,3,0,0,0,0,0,0,0,0,0
699,25826103,13626,377812,137700,0,42,2213888,55,1085440,6,34032225,103361805,2001490,1
228,28450036,37913,1123592,144715,0,101,425472,1,4096,0,6814077,228315,0,1
4128,83905058,1110,3625,256085,0,0,0,0,0,0,0,0,0,0
5383,66948116,18825,3456,491145,0,0,0,0,0,0,0,0,0,0
3212,105161911,3633,9929,124623,0,0,0,0,0,0,0,0,0,0
5971,30294149,4208,8127,354009,0,0,0,18,1634304,0,0,110396662,0,0
583,28011451,22236,1403559,172611,10,59,2702848,0,0,0,15237777,0,0,1
5076,57393003,11135,3495,272696,0,0,0,0,0,0,0,0,0,0
1373,17314367,492,116757,5963,7,7,196096,88,9615872,0,80245718,566938577,0,1
1062,59118842,20872,839091,27803,7,25,2091008,38,2735104,0,67239989,307445582,0,1
5316,67588327,13935,103526,245207,6,0,0,0,0,0,0,0,0,0
2010,31411598,32563,879980,144062,1,29,2792960,16,1138688,0,18452154,3794647,0,1
1872,40083567,28496,51202,126005,0,0,0,0,0,0,0,0,0,1
2465,30955213,17934,594532,166124,1,50,204800,0,0,0,4008705,0,0,1
2772,41711876,21667,596863,128091,0,68,278528,0,0,0,5138521,0,0,1
3604,70438881,343,3452,458543,0,0,0,51,2245632,0,0,199168812,0,0
646,17331344,29381,1507310,131348,2,47,2282496,28,282624,3,14463924,2899287,3040436,1
4749,104093308,14002,15625,293674,0,7,211968,0,0,0,742044,0,0,0
394,22555310,34623,1487701,161788,1,91,2105344,0,0,0,6782795,0,0,1
1834,38322507,31372,473725,107397,3,20,1319424,19,720896,0,3826638,13160322,0,1
2506,54307722,26720,360822,64237,11,26,1121280,0,0,0,7220766,0,0,1
1723,27153137,36093,1392939,40531,1,10,1020928,30,2401280,0,145268639,298595086,0,1
5760,63819419,5485,95578,456826,0,0,0,0,0,0,0,0,0,0
2470,24198284,18103,19237,118701,1,2,8192,47,4433920,0,25836185,406816283,0,1
1226,78561689,32350,919106,85619,1,29,2361856,63,5669888,0,11935685,84079132,0,1
3706,60733294,657,3550,542496,0,0,0,0,0,0,0,0,0,0
4365,70248584,155,341822,581748,0,0,0,8,1048576,0,0,38653360,0,0
650,26688548,43389,1438747,149089,4,43,1666560,25,344064,3,10837704,2614700,3212252,1
4601,85064988,16717,55997,692524,0,0,0,0,0,0,0,0,0,0
3925,82406499,290,8822,111055,0,0,0,0,0,0,0,0,0,0
2943,44998955,14806,152583,33590,0,8,32768,2,8192,0,795932,10418641,0,1
301,27477465,28633,1523489,192009,0,0,0,99,3682304,0,0,19319447,0,1
814,20586632,23007,688517,68665,4,27,2216448,65,621568,1,29990273,142806087,321084,1
1469,6699958,11037,204207,878,6,46,4766208,0,0,0,4923440,0,0,1
3889,63631906,2013,3417,564869,0,0,0,0,0,0,0,0,0,0
3310,96248930,459,6185,145452,0,0,0,0,0,0,0,0,0,0
5162,70367716,1695,5660,328896,0,0,0,0,0,0,0,0,0,0
2830,13632200,19384,408571,44386,4,80,327680,0,0,0,5490124,0,0,1
119,48549341,65142,677972,162475,2,94,441856,8,626688,1,23616649,8595506,1224707,1
2219,52955236,29517,1330929,106407,4,11,1310720,0,0,0,1803442,0,0,1
2413,33596193,28761,597981,108567,0,41,167936,0,0,0,3958898,0,0,1
5328,79030485,2678,5468,295004,0,0,0,0,0,0,0,0,0,0
3374,94713888,12992,6493,323849,0,0,0,0,0,0,0,0,0,0
1185,21249112,22632,273367,69726,0,42,4272128,0,0,0,4675212,0,0,1
2890,27800223,16356,393521,119116,3,68,278528,0,0,0,6339099,0,0,1
5501,72876766,3944,162185,307847,4,0,0,16,2097152,0,0,18028654,0,0
710,17896790,42837,361485,135808,0,56,689664,45,499712,5,4090643,3596178,3929748,1
621,34484003,39881,1475750,145107,0,22,1479168,32,814592,0,54135557,109558385,0,1
5568,56911226,171,9602,300227,0,0,0,0,0,0,0,0,0,0
3005,7410639,6550,522876,64116,7,0,0,0,0,0,0,0,0,0
5218,78931250,14399,35054,400102,0,0,0,29,823296,0,0,32854375,0,0
2171,18725209,5614,1019778,6693,0,36,2749952,2,8192,0,8358237,183628,0,1
4847,67520823,795,29489,195953,0,0,0,9,1048576,0,0,8902714,0,0
2027,32596294,33705,708694,90797,2,0,0,0,0,0,0,0,0,1
4963,67356895,13803,29335,394725,1,0,0,0,0,0,0,0,0,0
30,20145878,12145,4425,5083,2,95,529920,0,0,0,4833093,0,0,1
4891,53397178,22855,5078,342802,14,0,0,0,0,0,0,0,0,0
429,22656470,25451,1393510,105032,3,67,3855360,0,0,0,5332121,0,0,1
5725,53751512,5318,86205,516089,0,0,0,0,0,0,0,0,0,0
1037,29854946,19554,254846,69535,0,49,1722880,0,0,0,4293518,0,0,1
26,60330279,0,181302,18920,0,48,196608,0,0,0,2853026,0,0,1
745,20056373,4245,458040,37228,36,25,2354688,38,1753088,1,51235000,99564548,4894576,1
1704,14173438,34609,767488,4970,2,0,0,73,6275584,0,0,607119913,0,1
181,29760592,30752,1064136,137106,4,66,5483520,0,0,0,5779486,0,0,1
3084,71514621,3419,32693,419002,0,0,0,0,0,0,0,0,0,0
1891,20143604,25392,27611,107602,2,40,1545728,3,12288,0,10611876,535388,0,1
3936,61309766,5299,6749,255423,0,0,0,0,0,0,0,0,0,0
4729,67895217,394,15178,218860,0,0,0,0,0,0,0,0,0,0
4102,87979760,586,3596,244095,0,0,0,0,0,0,0,0,0,0
4369,60992064,7567,3262,531830,0,0,0,0,0,0,0,0,0,0
2944,87994357,20379,149130,7796,0,0,0,3,12288,0,0,4387230,0,1
2360,22305960,26744,934424,164853,1,8,32768,67,2853888,0,36118288,182206265,0,1
1450,9396261,1411,28800,14217,1,9,795648,26,1511424,0,45125839,206687593,0,1
1112,28497302,14024,737083,59178,2,14,1120768,34,3940864,0,46875814,211749822,0,1
1615,1778830,34972,623642,127029,3,2,29184,60,6217216,0,27830316,394752488,0,1
5408,72605373,547,3401,443120,0,0,0,17,1966080,0,0,116817565,0,0
3585,64468147,8982,11390,450600,0,0,0,0,0,0,0,0,0,0
46,5008217,5433,344997,96092,0,110,450560,0,0,0,5357282,0,0,1
2544,29626383,40649,443948,29929,2,2,8192,35,2815488,0,8270652,279961514,0,1
961,30415918,16581,734326,34288,25,37,3713536,52,1175552,0,8162824,15315285,0,1
4964,74630205,12782,3798,365138,1,0,0,0,0,0,0,0,0,0
4227,67955418,450,7836,552554,1,0,0,0,0,0,0,0,0,0
1547,23801349,42447,1299171,155137,8,2,8192,36,3952640,0,28050515,407236274,0,1
5874,65830671,1267,8219,733779,1,0,0,0,0,0,0,0,0,0
4972,55180990,3444,8836,582064,0,0,0,0,0,0,0,0,0,0
2651,43520665,28466,585361,34634,0,2,8192,25,753152,0,778836,75357527,0,1
5403,71225134,10929,30158,465117,0,0,0,0,0,0,0,0,0,0
4047,82178218,225,26705,239191,0,0,0,0,0,0,0,0,0,0
67,28207003,44215,790644,110210,0,132,574464,0,0,0,7118260,0,0,1
2184,40551971,0,532710,11436,3,32,131072,0,0,0,2562065,0,0,1
5484,56296848,3660,277847,52237,3,0,0,16,2097152,0,0,9410241,0,0
4174,65297311,11286,133192,480856,0,0,0,0,0,0,0,0,0,0
2642,43028019,17995,276612,18014,0,1,4096,18,1163264,0,472479,71493535,0,1
2824,40387882,18217,589999,148055,0,42,172032,3,167936,2,5263985,2065776,3003525,1
2965,63291644,11145,532368,162214,5,0,0,2,8192,0,0,584955,0,1
407,17277619,41809,1427223,153251,4,103,2429952,0,0,0,6732498,0,0,1
3437,86912761,6422,12512,226597,0,0,0,0,0,0,0,0,0,0
2918,18696747,12313,297918,126198,0,79,323584,0,0,0,5177154,0,0,1
4711,88817018,437,9488,362191,0,0,0,16,2097152,0,0,39515979,0,0
749,19933174,10284,598774,29257,12,26,2245120,48,2935296,0,66863269,275570129,0,1
4258,65100017,4760,363333,546000,0,0,0,0,0,0,0,0,0,0
2964,32690719,29320,95246,107671,7,0,0,0,0,0,0,0,0,1
2130,4207618,36164,382633,155694,1,53,217088,0,0,0,4807666,0,0,1
494,35878399,61798,719125,142414,0,97,921088,1,8192,0,6112190,227909,0,1
5827,54107123,13892,10302,288352,1,0,0,0,0,0,0,0,0,0
4036,64161200,2437,7289,527340,0,0,0,0,0,0,0,0,0,0
4735,77934838,13652,77182,333394,0,0,0,0,0,0,0,0,0,0
3999,75252222,2073,9542,434286,1,0,0,0,0,0,0,0,0,0
4158,63410312,57,3610,83236,0,0,0,0,0,0,0,0,0,0
1591,1833706,23462,1081739,208017,1,3,138752,75,7702016,0,91795016,2078534574,0,1
2821,29050204,54902,664502,107225,0,16,65536,86,1369600,0,20882967,91800924,0,1
1222,104048871,13819,1355363,140420,0,26,2302464,42,2411008,0,50890325,191390692,0,1
1934,28860851,477,550193,118831,1,0,0,114,10264576,0,0,348483915,0,1
3789,76432429,4735,10307,335833,1,0,0,0,0,0,0,0,0,0
4916,52978334,46990,72789,667898,3,0,0,31,4063232,0,0,198686177,0,0
4821,65405998,5812,71516,274679,1,0,0,0,0,0,0,0,0,0
1227,79023137,12494,1225314,52827,3,47,3375104,0,0,0,3491090,0,0,1
1751,19022210,15653,525189,90651,1,7,156160,28,2754048,0,379995712,955680991,0,1
5792,82668247,13554,3531,266692,0,0,0,0,0,0,0,0,0,0
5421,67566991,328,10514,452036,0,0,0,16,2097152,0,0,78357934,0,0
969,23256460,21312,114670,23958,0,36,2810368,0,0,0,7005525,0,0,1
4890,72813390,11105,5230,312305,0,0,0,0,0,0,0,0,0,0
2709,27060474,18435,1064743,97782,0,0,0,63,7766016,0,0,944247106,0,1
2212,11979568,16045,1211468,180459,0,11,45056,0,0,0,803361,0,0,1
4716,95208539,911,5576,477385,0,0,0,0,0,0,0,0,0,0
2168,27592581,543,1051949,6504,8,7,12800,45,1187840,0,11705289,35942921,0,1
4352,58887521,1714,3549,581949,7,0,0,0,0,0,0,0,0,0
3596,63929522,6601,50491,447359,0,0,0,0,0,0,0,0,0,0
2723,71967114,33049,727112,127629,5,10,40960,7,28672,0,975610,5079338,0,1
1768,23418864,19138,1084332,62972,4,13,1078272,44,2279424,0,52845054,168874125,0,1
4705,68034654,4751,5682,264701,0,0,0,0,0,0,0,0,0,0
2665,21291858,23045,777680,14438,0,2,8192,11,631296,0,6022203,53240538,0,1
4299,62206110,137,122809,555111,0,0,0,0,0,0,0,0,0,0
688,29182389,50285,1556347,144937,1,16,1345536,25,1346048,1,55783089,184695269,446311,1
5122,65598855,6506,92657,499529,0,0,0,0,0,0,0,0,0,0
4260,60572804,421,376577,626231,0,0,0,38,4980736,0,0,34580357,0,0
5472,67632605,194,3712,171429,13,0,0,1,131072,0,0,439868,0,0
3354,91709106,3754,10241,144249,0,0,0,0,0,0,0,0,0,0
4713,79595160,11777,52367,312058,0,0,0,0,0,0,0,0,0,0
3861,78896714,1818,3551,365869,0,0,0,0,0,0,0,0,0,0
297,23601264,32230,1540901,170264,1,0,0,59,696320,0,0,30796921,0,1
3792,73600460,587,8620,418034,1,0,0,0,0,0,0,0,0,0
1588,1292094,20479,490434,104570,0,0,0,64,5692928,0,0,17702169,0,1
5292,70256417,8880,26589,342075,47,0,0,0,0,0,0,0,0,0
5663,67674875,18043,31050,286183,0,0,0,1,126976,0,0,349103,0,0
2929,66633422,5994,401182,45339,2,44,180224,20,2233344,0,29781446,400345837,0,1
3549,74872938,242,3686,358092,0,0,0,0,0,0,0,0,0,0
4710,84238097,16963,5514,474587,0,0,0,0,0,0,0,0,0,0
2886,29922405,23986,538599,35619,3,65,266240,0,0,0,5594352,0,0,1
1195,90460409,2908,1134183,2012,1,53,2716160,1,4096,0,4755306,78945,0,1
875,30489881,24442,179226,52915,0,22,2049024,78,319488,0,1990824,6355118,0,1
5239,73861875,9457,5889,565476,0,0,0,0,0,0,0,0,0,0
3621,69641095,243,3405,479788,1,0,0,0,0,0,0,0,0,0
3060,13982030,5350,140575,93457,1,0,0,2,86016,0,0,875756,0,0
5471,46182047,817,3353,361439,71,0,0,33,4194304,0,0,80297165,0,0
3697,66227820,607,3492,497574,0,0,0,0,0,0,0,0,0,0
2298,45661583,29633,1301544,168357,1,30,122880,3,12288,0,2381527,6493756,0,1
4968,73412137,624,23137,664239,0,0,0,0,0,0,0,0,0,0
3746,67918315,194,3289,456092,1,0,0,0,0,0,0,0,0,0
1759,78314675,11600,637083,37580,7,0,0,51,5419520,0,0,31990109,0,1
60,14712006,34490,478026,96351,2,93,380928,0,0,0,4999758,0,0,1
659,15597969,47894,1455199,122309,1,51,936960,36,430080,4,6476214,4315678,4807801,1
3404,90918600,232,7448,227388,0,0,0,0,0,0,0,0,0,0
36,30990,182,309150,17356,0,66,468992,0,0,0,4090780,0,0,1
5487,40609227,296,63490,293252,0,0,0,16,1966080,0,0,64599793,0,0
5340,84266095,390,6125,775997,0,0,0,0,0,0,0,0,0,0
4901,60261930,5819,5978,267781,8,0,0,0,0,0,0,0,0,0
5750,62015409,838,13915,656396,0,0,0,0,0,0,0,0,0,0
3246,99397722,5877,5210,126858,0,0,0,0,0,0,0,0,0,0
1026,53405993,27375,763909,56903,1,43,4529664,1,69632,0,4815281,208329,0,1
908,34179571,25677,1023423,158439,0,36,2053632,0,0,0,4809374,0,0,1
1881,20157918,17718,34463,120965,0,9,615424,55,4929024,0,26016441,172542964,0,1
1963,41830929,21548,613896,51199,0,0,0,89,462848,0,0,16992160,0,1
3651,63021368,1180,3359,516419,0,0,0,0,0,0,0,0,0,0
2858,47491261,6476,541870,213279,4,0,0,81,376832,0,0,15120123,0,1
2729,50853782,16938,784927,98693,1,0,0,0,0,0,0,0,0,1
2564,24383647,25954,314030,129979,0,1,4096,0,0,0,76566,0,0,1
4086,87807228,617,3759,237487,0,0,0,0,0,0,0,0,0,0
4042,85849754,4179,12870,242517,1,0,0,0,0,0,0,0,0,0
2690,14222048,22869,962476,115608,0,6,24576,1,4096,0,749185,318384,0,1
5074,57138267,5362,3813,477116,1,0,0,0,0,0,0,0,0,0
5085,70130950,15115,22615,250149,0,0,0,0,0,0,0,0,0,0
2984,25631179,7140,631806,49548,1,0,0,32,2561024,0,0,318846269,0,1
3712,61475636,197,7153,465410,0,0,0,0,0,0,0,0,0,0
2152,30993,25184,352435,118115,0,13,1089536,122,13458432,0,2728481,54234485,0,1
172,32770231,26059,1284102,128271,0,35,215552,43,307200,0,25530486,22168075,0,1
1878,7576012,23927,35534,155157,0,6,26112,22,2008576,0,44584975,392465385,0,1
2257,22766912,18141,1285163,154267,1,6,593920,41,3846144,0,65011407,319300872,0,1
1489,67119367,312,355246,20202,0,19,1761792,43,3346432,0,115723379,292438250,0,1
1527,30787273,41719,1416905,62668,18,37,3641344,0,0,0,3431985,0,0,1
3419,83816777,254,3700,262528,0,0,0,0,0,0,0,0,0,0
2857,60469274,908,723559,156941,16,0,0,96,421888,0,0,12806507,0,1
4572,56798750,190,4038,405014,1,0,0,2,8192,0,0,182506,0,0
2182,20314462,0,1229502,63753,0,29,116736,0,0,0,2145835,0,0,1
3086,69133389,4293,111692,272898,0,0,0,0,0,0,0,0,0,0
5266,69556315,13691,28886,258480,0,0,0,0,0,0,0,0,0,0
