,instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,Label
3511,74588696,5950,7057,364985,0,0,0,0,0,0,0,0,0,0
5507,72498556,6913,8321,350493,1,0,0,28,3670016,0,0,79522543,0,0
3047,28402,5,4535,565,0,0,0,0,0,0,0,0,0,0
5460,58536035,5628,3462,398300,0,0,0,0,0,0,0,0,0,0
1577,1153092,39426,539462,171858,4,51,3631104,0,0,0,4833819,0,0,1
4021,65873507,498,3257,516085,0,0,0,0,0,0,0,0,0,0
4614,53329019,9147,16407,446785,0,0,0,0,0,0,0,0,0,0
53,10737848,16108,270700,22609,0,25,102400,0,0,0,1625960,0,0,1
1679,27104031,32216,716256,104642,1,41,3471872,1,49152,0,4628527,91680,0,1
2127,19912737,27730,293764,115896,0,24,1596928,8,32768,0,3788188,974637,0,1
4579,72447973,7544,3338,642792,7,0,0,0,0,0,0,0,0,0
1790,67133191,25419,1240948,155481,3,39,3185664,2,131072,0,18457350,2356732,0,1
5815,71212604,11562,9815,254648,0,0,0,0,0,0,0,0,0,0
4471,71380511,2217,17074,487224,0,0,0,2,8192,0,0,177547,0,0
246,23320563,12733,1261672,137578,0,66,270336,0,0,0,3456473,0,0,1
604,26666124,26562,1435473,181041,0,22,1558528,97,651264,0,11955441,7908105,0,1
1997,24617149,35988,1227527,135847,13,25,261632,18,1077248,0,2091549,19060902,0,1
3909,74201018,5560,4001,290919,0,0,0,0,0,0,0,0,0,0
3157,87884991,489,3454,205760,0,0,0,0,0,0,0,0,0,0
3485,82906282,6263,11470,457974,0,0,0,0,0,0,0,0,0,0
836,19688390,34223,657632,89957,0,11,1005568,78,1112576,2,11275009,46871873,3032650,1
1171,24990270,35129,762633,56409,5,38,703488,44,3817472,0,9982605,165489533,0,1
1325,39751555,3572,74582,10391,6,1,17920,186,21505536,0,30631,144999388,0,1
4951,61202720,8077,4211,649898,0,0,0,0,0,0,0,0,0,0
5304,82017581,8314,15993,379702,0,0,0,0,0,0,0,0,0,0
5627,72073979,14352,72356,646571,2,0,0,0,0,0,0,0,0,0
3001,14719499,402,478718,88466,4,0,0,0,0,0,0,0,0,0
3512,77568262,548,3426,398188,0,0,0,0,0,0,0,0,0,0
5473,57295615,5266,16912,37923,1,0,0,39,5111808,0,0,99841597,0,0
1858,27449991,36418,1102278,96715,0,44,2763264,0,0,0,18867691,0,0,1
3554,73540810,1726,9804,374622,18,0,0,0,0,0,0,0,0,0
4985,58775849,2543,12871,441886,0,0,0,0,0,0,0,0,0,0
3352,103962371,685,6332,154425,0,0,0,0,0,0,0,0,0,0
503,30428970,58182,472203,143723,0,5,20480,37,3350528,0,21645171,369501521,0,1
2941,50107565,12152,4556,53780,2,32,131072,0,0,0,2661003,0,0,1
3578,60604504,3907,36350,329937,0,0,0,1,4096,0,0,79960,0,0
1861,29215118,30903,360937,105825,0,12,1354240,46,4529664,0,56086847,499319614,0,1
5638,69910487,591,3558,662846,2,0,0,0,0,0,0,0,0,0
2791,38660270,10304,777169,79114,0,61,249856,0,0,0,5743271,0,0,1
3702,66767623,268,3416,517053,0,0,0,0,0,0,0,0,0,0
2191,27698649,240,754430,21145,3,26,106496,0,0,0,1779659,0,0,1
4693,74489874,13946,6279,293922,0,0,0,0,0,0,0,0,0,0
1337,41715047,1022,198047,13343,0,43,4414976,31,991232,0,5116354,2213028,0,1
1755,26748015,23044,612239,100641,3,2,52736,5,243712,0,57752138,166201855,0,1
2559,36053609,22970,740339,130115,1,0,0,0,0,0,0,0,0,1
4371,68453440,4731,65229,536157,0,0,0,2,8192,0,0,3536646,0,0
4203,80738605,354,3671,378451,0,0,0,0,0,0,0,0,0,0
4643,69987698,582,10617,249056,0,0,0,0,0,0,0,0,0,0
4285,65066068,310,8152,531643,0,0,0,0,0,0,0,0,0,0
4441,68759566,6349,3273,602393,1,0,0,40,691200,1,0,100112242,1736661,0
1181,42339377,32375,1376491,16577,0,33,2802176,0,0,0,3831455,0,0,1
5199,68895787,2577,4516,416275,0,0,0,0,0,0,0,0,0,0
2586,29150288,20262,452116,145177,2,0,0,65,2637824,0,0,23670817,0,1
3795,68915964,5609,21207,498769,4,0,0,0,0,0,0,0,0,0
4478,67138480,501,9944,458912,0,0,0,8,1048576,0,0,5094378,0,0
269,30722635,38637,1217161,122053,0,62,1269760,0,0,0,4597655,0,0,1
1626,1449582,38570,871525,131751,7,24,2096128,67,2433024,0,2807205,9217202,0,1
177,25916008,29565,1233620,154480,1,49,3765760,47,557056,0,33136328,18664084,0,1
